  1, 160,  20,  94
  2, 162,  94,  92
  3, 149, 148,  27
  4, 299, 262, 273
  5, 151,  31,  32
  6, 278, 241, 277
  7, 223, 131, 217
  8, 120,  53,  54
  9, 128, 127,  61
 10, 269, 226, 128
 11, 159,  75,  76
 12, 136, 132,  11
 13, 194, 192, 152
 14, 119,  40, 107
 15, 147, 144,  35
 16, 166,  37,  38
 17, 230,  94, 162
 18,  94,  21,  92
 19,  92,  21,  22
 20,  93,  92,  22
 21,  95,  24,  25
 22,  24,   2,  25
 23,  95,  93,  23
 24, 163, 162,  92
 25, 271, 229, 163
 26, 102, 101,  86
 27, 150, 145,  30
 28, 101,  97,  16
 29, 151,  32, 140
 30, 298, 258, 260
 31, 152,  34, 144
 32, 118,  38,  39
 33, 166, 147,  36
 34,  37,  36,   3
 35, 109, 108,  42
 36, 103,  87,  97
 37, 110, 109,  43
 38, 103,  99,  17
 39, 175, 111, 174
 40,  99,  98,  18
 41, 112, 111,  45
 42, 282, 277, 245
 43, 104,  88,  98
 44, 248, 183, 243
 45, 115, 114,  49
 46, 279, 276, 247
 47, 116, 115,  50
 48, 134,  81, 129
 49, 117,  52, 106
 50, 120, 106,  53
 51, 121, 120,  54
 52, 131, 130,   9
 53, 122, 121,  55
 54, 123, 122,  56
 55, 124, 123,  57
 56, 125, 124,  58
 57, 126, 125,  59
 58, 127, 126,  60
 59, 128,  62,  63
 60,  62,   4,  63
 61, 226, 169, 127
 62, 251, 249, 187
 63, 154, 142,  67
 64, 156,  69,  70
 65, 137, 136,  83
 66, 204, 155, 156
 67, 263, 255, 203
 68, 136,  11,  83
 69, 206, 157, 158
 70, 158,  73, 146
 71, 159, 146,  74
 72,  74,   5,  75
 73,  96,  77,  89
 74,  89,  77,  78
 75, 206, 158, 191
 76,  90,  89,  78
 77,  91,  80,  84
 78,  80,   6,  84
 79, 129,  13, 104
 80, 224, 138, 222
 81, 137,  10, 130
 82,  91,  90,  79
 83, 307,   1,  19
 84, 102,  15, 100
 85,  97,  87,  16
 86,  98,  88,  18
 87,  90,  78,  79
 88, 164, 161,  89
 89,  91,  79,  80
 90, 225, 133, 221
 91, 133,  84,  12
 92, 304, 263, 267
