   1,  520,   70,  353
   2,  606,  563,  569
   3,  595,  569,  535
   4,  667,  665,   78
   5,  596,  570,   82
   6,  441,  392,   81
   7,  722,  713,   76
   8,  442,  393,   86
   9,  808,  746,   81
  10,  443,  396,   92
  11,  731,  695,  642
  12,  985,  962,  100
  13, 1075,  996, 1022
  14, 1092, 1002,  138
  15, 1106, 1093, 1072
  16, 1067, 1037,  986
  17,  732,  643,  694
  18,  458,  397,  302
  19,  394,   28,  303
  20,  459,  395,  236
  21,  395,   29,  304
  22,  959,  395,  460
  23, 1012, 1005,  898
  24,  994,  939,  190
  25,  825,  765,  167
  26,  614,  583,  144
  27,  531,  116,  511
  28,  364,   75,  360
  29,  364,  116,   75
  30,  577,  499,  115
  31,  587,  143,  560
  32, 1059,  720,  165
  33,  927,  824,  868
  34,  882,  777,  212
  35,  657,  234,  633
  36,  748,  657,  707
  37,  745,  707,  235
  38,  801,  212,  707
  39,  967,  882,  915
  40,  824,  769,  166
  41,  679,  592,  143
  42,  511,  116,  364
  43,  548,  364,  115
  44,  561,  115,  537
  45,  378,  279,  280
  46,  440,  280,    8
  47,  379,  377,    4
  48,  379,   77,  377
  49,  381,  276,  277
  50,  381,  380,  276
  51,  630,  393,  443
  52,  444,  398,   99
  53,  889,  100,  790
  54, 1034,  933,  980
  55, 1081,  997, 1056
  56, 1014,  993,  924
  57, 1102, 1011, 1052
  58,  935,  878,  210
  59,  457,  400,  301
  60,  397,   27,  302
  61,  622,  396,  444
  62,  445,  401,  107
  63,  979,  877,  933
  64, 1035,  779,  901
  65,  912,  888,  161
  66, 1133,  864,  964
  67, 1054, 1050,  209
  68,  399,  299,  300
  69,  400,   26,  301
  70,  445,   99,  398
  71,  403,  286,  287
  72,  794,  644,  733
  73,  949,  775,  851
  74,  787,  637,  207
  75, 1115,  910,  965
  76, 1082,  455,  232
  77,  402,  299,  399
  78,  403,  401,  286
  79,  404,   14,  288
  80,  755,  696,  659
  81,  854,  807,  205
  82,  671,  602,  544
  83,  454,  407,  297
  84,  455,  405,  298
  85,  446,  404,  135
  86,  406,   15,  289
  87,  755,  710,  182
  88,  726,  670,  206
  89,  390,  296,   23
  90,  454,  297,   24
  91,  447,  406,  158
  92,  408,   16,  290
  93,  849,  770,  205
  94,  672,  601,  228
  95,  409,  296,  390
  96,  448,  408,  181
  97,  450,  412,  227
  98,  850,  413,  452
  99,  453,  295,   22
 100,  974,  892,  204
 101,  412,  292,  293
 102,  452,  413,  294
 103,  451,  293,   20
 104,  414,   30,  305
 105, 1127, 1062,  237
 106, 1084, 1062,  956
 107,  989,  837,  191
 108,  926,  828,  191
 109, 1126,  591,  566
 110,  491,  489,  340
 111,  503,   69,  362
 112,  415,   31,  306
 113, 1107, 1100,  238
 114, 1028, 1006,  215
 115,  873,  829,  192
 116,  691,  639,  169
 117,  571,  538,  146
 118,  490,   62,  489
 119,  416,   32,  307
 120, 1061,  416,  463
 121, 1060, 1007,  217
 122, 1135,  928,  193
 123,  867,  823,  171
 124,  678,  147,  668
 125,  490,  341,   62
 126,  366,  342,  117
 127,  363,   63,  341
 128,  417,   33,  308
 129,  809,  753,  240
 130, 1007,  753,  805
