1, 237, 238,  20,  21
  2, 341, 232, 342, 629
  3, 135, 134,  23,  24
  4,  28,  29, 509, 133
  5, 206, 220, 115,  16
  6, 346, 135, 235, 352
  7, 174,  65,  66, 175
  8,  12, 124, 211, 230
  9, 123,  11, 221, 222
 10, 291, 251, 371, 369
 11, 207, 229,  13, 125
 12, 241, 105, 106, 141
 13, 252, 279, 392, 393
 14,  53, 163, 253,  52
 15, 355, 411, 249, 255
 16,  17, 233, 232,  18
 17, 343, 344, 238, 237
 18, 134, 239,  22,  23
 19, 149, 148,  30,  31
 20,  29,  30, 148, 509
 21, 143, 150,  32,  33
 22,  28, 133,  27,   2
 23,  24,  25, 235, 135
 24,  34,  35, 152, 151
 25, 231, 340, 339, 206
 26,  35,  36, 153, 152
 27, 151, 143,  33,  34
 28, 154, 153,  36,  37
 29, 155, 154,  37,  38
 30, 411, 355, 498, 277
 31, 159, 158,  42,  43
 32,  43,  44, 160, 159
 33, 411, 248, 161, 249
 34,  47, 161,  46,   3
 35, 156, 155,  38,  39
 36, 278, 252, 393, 501
 37, 162, 275, 260, 157
 38, 116, 115, 220, 219
 39, 165,  55,  56, 166
 40, 166,  56,  57, 167
 41,  54, 164, 163,  53
 42,  55, 165, 164,  54
 43,  58, 168, 167,  57
 44,  59, 169, 168,  58
 45, 333, 223, 225, 328
 46,  60, 170, 169,  59
 47,  62, 172, 171,  61
 48,  64, 144, 173,  63
 49, 224, 212, 120,   9
 50, 175,  66,  67, 176
 51,  65, 174, 144,  64
 52,  68, 177, 176,  67
 53, 218, 216, 122, 121
 54,  70, 145, 178,  69
 55, 180,  72,  73, 181
 56, 181,  73,  74, 182
 57, 216, 221,  11, 122
 58,  71, 179, 145,  70
 59,  72, 180, 179,  71
 60,  75, 183, 182,  74
 61,  92, 196, 186,  91
 62,  83, 190, 262,  82
 63,  90, 193, 188,  89
 64,  89, 188, 189,  88
 65, 191, 263, 250, 192
 66,  88, 189, 191,  87
 67,  87, 191, 192,  86
 68,  86, 192,  85,   4
 69, 263, 291, 369, 356
 70,  91, 186, 193,  90
 71, 325, 229, 207, 321
 72,  77, 185, 184,  76
 73,  93, 146, 196,  92
 74,  76, 184, 183,  75
 75, 198,  95,  96, 199
 76, 199,  96,  97, 200
 77, 126,  13, 229, 215
 78,  94, 197, 146,  93
 79,  95, 198, 197,  94
 80, 208, 315, 317, 227
 81, 110, 136, 140, 109
 82, 298, 299, 203, 147
 83, 102, 203, 202, 101
 84, 141, 106, 107, 242
 85, 104, 241, 147, 103
 86, 104,   5, 105, 241
 87, 108, 142, 242, 107
 88, 137, 138, 246, 243
 89, 204, 100, 101, 202
 90, 137, 111, 112, 138
 91, 214, 210,  15, 128
 92, 138, 112, 113, 139
 93, 111, 137, 136, 110
 94, 775, 114,   6, 130
 95, 132,  18, 234, 231
 96, 274, 306, 399, 400
 97, 219, 213,   7, 116
 98,   8, 117, 225, 223
 99, 213, 225, 117,   7
